name,slug,description,address,city_id,latitude,longitude,phone,email,website,logo_url,cover_image_url,membership_price_from,membership_price_to,currency,opening_hours,is_featured,featured_until,member_count,member_count_source,member_count_verified,member_count_public,member_count_last_updated,rating,review_count,years_in_business,source,specialty_slug,specialty_uuid,specialties_json
Foxteam Taekwondo Larnaca,foxteam-taekwondo-larnaca,,"Kleanthi Mesologgiti 4, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796005111,,,,,,,,,False,,,,False,True,,5.0,14,,Google Maps Scrape,,,[]
Wellnest Pilates Studio,wellnest-pilates-studio,,"Orthodoxias 1, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796125943,,,,,,,,,False,,,,False,True,,5.0,17,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Live Studio Mike,live-studio-mike,,"Anafis 5, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796502449,,http://www.livestudiomike.com/,,,,,,,False,,,,False,True,,5.0,47,,Google Maps Scrape,,,[]
Eplarkou Pilates,eplarkou-pilates,,"Legacy-Chris Antoniou, Rafael Santi 28, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799377970,,,,,,,,,False,,,,False,True,,5.0,16,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
A Studio Pilates & Fitness,a-studio-pilates-fitness,,"Eleftherias 84 Larnaca, 7101, Aradippou, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796290414,,,,,,,,,False,,,,False,True,,5.0,39,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Moksha Fitlab,moksha-fitlab,,"faneromenis avenue 189-191, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799075781,,,,,,,,,False,,,,False,True,,5.0,17,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Alignment Pilates Studio,alignment-pilates-studio,,"Artemidos, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799646996,,,,,,,,,False,,,,False,True,,4.9,66,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Bareknuckle Crossfit,bareknuckle-crossfit,,"Faneromenis Ave 225, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796674327,,http://www.bareknucklecrossfit.com/,,,,,,,False,,,,False,True,,5.0,36,,Google Maps Scrape,,,[]
Gymland Ματσαγγίδης,gymland-ματσαγγίδης,,"Dimonikou 9, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724623520,,,,,,,,,False,,,,False,True,,4.5,11,,Google Maps Scrape,,,[]
Vital Strength Training,vital-strength-training,,"Artemidos 24, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799295679,,http://vitalstrength.fit/,,,,,,,False,,,,False,True,,5.0,13,,Google Maps Scrape,personal-trainer,1b9ecd3b-fe53-4432-9dc0-978f90eaacb3,"[""1b9ecd3b-fe53-4432-9dc0-978f90eaacb3""]"
