name,slug,description,address,city_id,latitude,longitude,phone,email,website,logo_url,cover_image_url,membership_price_from,membership_price_to,currency,opening_hours,is_featured,featured_until,member_count,member_count_source,member_count_verified,member_count_public,member_count_last_updated,rating,review_count,years_in_business,source,specialty_slug,specialty_uuid,specialties_json
Ballet School & Pilates Studio Monika Perikleous,ballet-school-pilates-studio-monika-perikleous,,"Kosti Palama 57, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,+35799785748,,https://www.monicadancepilatesstudio.com/,,,,,,,False,,,,False,True,,5.0,18,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Vinyasa Yoga Studio Limassol,vinyasa-yoga-studio-limassol,,"Athina Court, Ypsilantou 6, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,+35725106848,,http://www.vinyasayogacyprus.com/,,,,,,,False,,,,False,True,,5.0,17,,Google Maps Scrape,yoga,ea4205eb-b55b-4b0d-a762-d267ec55f123,"[""ea4205eb-b55b-4b0d-a762-d267ec55f123""]"
Piero Judo Academy,piero-judo-academy,,"Eustathiou Paraskeva 18, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,+35799580158,,,,,,,,,False,,,,False,True,,5.0,122,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Limassol Fitness,limassol-fitness,,"Eleftherias 109-3042, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,+35795144819,,http://limassol-fitness.com/,,,,,,,False,,,,False,True,,5.0,11,,Google Maps Scrape,personal-trainer,1b9ecd3b-fe53-4432-9dc0-978f90eaacb3,"[""1b9ecd3b-fe53-4432-9dc0-978f90eaacb3""]"
Soul Vibe Space,soul-vibe-space,,"Agias Zonis 50, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,+35795642888,,https://soulvibespace.simplybook.it/,,,,,,,False,,,,False,True,,4.7,12,,Google Maps Scrape,yoga,ea4205eb-b55b-4b0d-a762-d267ec55f123,"[""ea4205eb-b55b-4b0d-a762-d267ec55f123""]"
Endless Flow,endless-flow,,"Amfissis 6, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,,,,,,,,,,False,,,,False,True,,5.0,10,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Nicos Solomonides Indoor Arena Ael,nicos-solomonides-indoor-arena-ael,,"Μόρφου 9A, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,,,http://actioninsports.com/,,,,,,,False,,,,False,True,,4.5,19,,Google Maps Scrape,24-hour-gym,175c7168-835e-4955-9d15-730b57f9b9ff,"[""175c7168-835e-4955-9d15-730b57f9b9ff""]"
No75Space,no75space,,"Thesalonikis 75-3025, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,+35799000055,,http://no75space.com/,,,,,,,False,,,,False,True,,5.0,27,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Checkmat Limassol,checkmat-limassol,,"Pafou 74, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,+35797442244,,https://checkmat.cy/,,,,,,,False,,,,False,True,,5.0,22,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Mma School The Cage,mma-school-the-cage,,"Jean Sibelius και, Γεωργίου Παυλίδη 12, Limassol, Cyprus",a8d0fd41-5901-4a94-93d3-ecc28166b137,34.7071,33.0226,+35799817412,,http://www.mmathecage.com/,,,,,,,False,,,,False,True,,4.5,23,,Google Maps Scrape,24-hour-gym,175c7168-835e-4955-9d15-730b57f9b9ff,"[""175c7168-835e-4955-9d15-730b57f9b9ff""]"
