name,slug,description,address,city_id,latitude,longitude,phone,email,website,logo_url,cover_image_url,membership_price_from,membership_price_to,currency,opening_hours,is_featured,featured_until,member_count,member_count_source,member_count_verified,member_count_public,member_count_last_updated,rating,review_count,years_in_business,source,specialty_slug,specialty_uuid,specialties_json
The Yogi Turtle,the-yogi-turtle,,"Archiepiskopou Kyprianou 29, Nicosia, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35799357842,,https://www.yogiturtlestudio.com/,,,,,,,False,,,,False,True,,5.0,16,,Google Maps Scrape,yoga,ea4205eb-b55b-4b0d-a762-d267ec55f123,"[""ea4205eb-b55b-4b0d-a762-d267ec55f123""]"
E-Motion Dance & Health Studio - Viantos,e-motion-dance-health-studio-viantos,,"Viantos 8, Strovolos, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35770007061,,https://www.emotioncy.com/,,,,,,,False,,,,False,True,,4.8,16,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Riforma Pilates Studio,riforma-pilates-studio,,"Tseriou 24C, Strovolos, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35794093703,,http://www.riformapilatesstudio.com/,,,,,,,False,,,,False,True,,5.0,19,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Renzo Gracie Nicosia - Brazilian Jiu Jitsu,renzo-gracie-nicosia-brazilian-jiu-jitsu,,"Sports Center, B18 150, Agios Dometios, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35799540008,,,,,,,,,False,,,,False,True,,4.6,29,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Filippos Taekwondo Itf Nicosia,filippos-taekwondo-itf-nicosia,,"Kyriakou Matsi 8, Nicosia, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35799252242,,http://www.filippostaekwondo.com/,,,,,,,False,,,,False,True,,4.9,43,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Bhava,bhava,,"Ροίκου 9, Nicosia, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35797730979,,http://bhava.studio/,,,,,,,False,,,,False,True,,5.0,24,,Google Maps Scrape,yoga,ea4205eb-b55b-4b0d-a762-d267ec55f123,"[""ea4205eb-b55b-4b0d-a762-d267ec55f123""]"
In2Motion Fitness Studio,in2motion-fitness-studio,,"E902 149, Strovolos, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35799775895,,,,,,,,,False,,,,False,True,,5.0,10,,Google Maps Scrape,,,[]
Cocoon Wellness Centre,cocoon-wellness-centre,,"ap. 201, Athalassas Ave 130, Nicosia, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35799325558,,http://www.cocoonwellnesscentre.com/,,,,,,,False,,,,False,True,,5.0,33,,Google Maps Scrape,yoga,ea4205eb-b55b-4b0d-a762-d267ec55f123,"[""ea4205eb-b55b-4b0d-a762-d267ec55f123""]"
For Me Clinical Physio Pilates Studio,for-me-clinical-physio-pilates-studio,,"Kyrenias 93, Nicosia, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35794009009,,https://www.formepilates.eu/,,,,,,,False,,,,False,True,,5.0,67,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Uppercut Team Cyprus Boxing - Kickboxing School In Strovolos Nicosia,uppercut-team-cyprus-boxing-kickboxing-school-in-strovolos-nicosia,,"Costa Anaxagora 21B, Strovolos, Cyprus",fa1518c7-1daf-4e05-a27b-d6296176ef2e,35.1856,33.3823,+35796444787,,https://shorturl.at/6w2Wv,,,,,,,False,,,,False,True,,5.0,31,,Google Maps Scrape,boxing,f6559489-8266-42f2-aea9-89a3a76eeea0,"[""f6559489-8266-42f2-aea9-89a3a76eeea0""]"
