name,slug,description,address,city_id,latitude,longitude,phone,email,website,logo_url,cover_image_url,membership_price_from,membership_price_to,currency,opening_hours,is_featured,featured_until,member_count,member_count_source,member_count_verified,member_count_public,member_count_last_updated,rating,review_count,years_in_business,source,specialty_slug,specialty_uuid,specialties_json
The Hood Fitness House,the-hood-fitness-house,,"Amathountos, Konia, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799050192,,,,,,,,,False,,,,False,True,,5.0,16,,Google Maps Scrape,,,[]
Kings Brazilian Jiu Jitsu,kings-brazilian-jiu-jitsu,,"Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799923388,,http://www.kingsbjj.com/,,,,,,,False,,,,False,True,,5.0,64,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Pilates Reformer Studio,pilates-reformer-studio,,"Laouri Ioanni 30, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799180656,,,,,,,,,False,,,,False,True,,5.0,13,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Zr Jiu Jitsu,zr-jiu-jitsu,,"Ioanni Agroti 11, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799028069,,https://m.facebook.com/pages/category/Community/Ze-Radiola-Team-Cyprus-580163358824687/,,,,,,,False,,,,False,True,,4.9,17,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Soulutionpilates&More,soulutionpilatesmore,,"25 Martiou 38, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35796724446,,,,,,,,,False,,,,False,True,,4.5,22,,Google Maps Scrape,pilates,b85cb2e6-fb93-4167-aa98-d5f4444061b1,"[""b85cb2e6-fb93-4167-aa98-d5f4444061b1""]"
Team Akopian,team-akopian,,"Nikou Kazantzaki, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35796872909,,https://m.facebook.com/artouros.akopian/,,,,,,,False,,,,False,True,,4.7,20,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Furious Fighters,furious-fighters,,"Ionias 31, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35797904854,,https://www.instagram.com/furious_fighters_,,,,,,,False,,,,False,True,,5.0,32,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Aa Power Mode,aa-power-mode,,"Democracy Ave 102, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799932975,,http://aapowermode.com/,,,,,,,False,,,,False,True,,4.9,10,,Google Maps Scrape,,,[]
Akba Health Care Center,akba-health-care-center,,"Makariou III Ave 24, Emba, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35726270620,,,,,,,,,False,,,,False,True,,4.9,15,,Google Maps Scrape,,,[]
Personal Trainer - Paphos Kissonerga & Peyia,personal-trainer-paphos-kissonerga-peyia,,"Marcantoniou Bragadinou, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799856432,,https://www.paphos-training.com/,,,,,,,False,,,,False,True,,5.0,10,,Google Maps Scrape,,,[]
Dinamico Personal Training Center,dinamico-personal-training-center,,"theodorou zinonos 10, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799743850,,http://www.dinamicotraining.com/,,,,,,,False,,,,False,True,,4.8,13,,Google Maps Scrape,personal-trainer,1b9ecd3b-fe53-4432-9dc0-978f90eaacb3,"[""1b9ecd3b-fe53-4432-9dc0-978f90eaacb3""]"
Mg Fitness Club,mg-fitness-club,,"QCQ5+3P2, Unnamed Road, Chlorakas, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799544186,,https://mgfitness.club/,,,,,,,False,,,,False,True,,4.6,52,,Google Maps Scrape,,,[]
JohnnyS Personal Training,johnnys-personal-training,,"Agiou Panaretou, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799531393,,https://johnnyspersonaltraining.com/,,,,,,,False,,,,False,True,,5.0,24,,Google Maps Scrape,,,[]
Aesthetics Fitness Club,aesthetics-fitness-club,,"3, Makariou III Ave, Chlorakas, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35770001928,,,,,,,,,False,,,,False,True,,4.6,114,,Google Maps Scrape,,,[]
Paphos Professional Boxing Gym,paphos-professional-boxing-gym,,"Marcantoniou Bragadinou, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799715937,,https://fit2fightcyprus.com/,,,,,,,False,,,,False,True,,5.0,36,,Google Maps Scrape,boxing,f6559489-8266-42f2-aea9-89a3a76eeea0,"[""f6559489-8266-42f2-aea9-89a3a76eeea0""]"
Poseidonio Health Spa And Fitness Center,poseidonio-health-spa-and-fitness-center,,"Democracy Ave 132, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799573445,,,,,,,,,False,,,,False,True,,4.3,28,,Google Maps Scrape,,,[]
Municipality Gym,municipality-gym,,"Q9RW+5FH, Unnamed Road, Chlorakas, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,,,,,,,,,,False,,,,False,True,,4.6,16,,Google Maps Scrape,,,[]
Aidinidis Fight Club,aidinidis-fight-club,,"Athinas 60, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799894896,,https://www.facebook.com/AidinidisFightClub/,,,,,,,False,,,,False,True,,5.0,16,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
JohnnyS Gym,johnnys-gym,,"B7 90, Paphos, Cyprus",7978d742-eeea-4c7a-b37f-7dceacd4284b,34.7756,32.4244,+35799946129,,,,,,,,,False,,,,False,True,,4.9,62,,Google Maps Scrape,,,[]
