slug,name,city,amenities
100-boxing-fitness-gym-nicosia,100% Boxing & Fitness Gym Nicosia,Nicosia,
5-rounds-mma-limassol,5 Rounds MMA Limassol,Limassol,
aesthetics-fitness-club-arc-paphos,Aesthetics Fitness Club Arc Paphos,Paphos,
aidinidis-fight-club-paphos,Aidinidis Fight Club,Paphos,
akba-health-care-center-paphos,Akba Health Care Center,Paphos,
alignment-pilates-studio-larnaca,Alignment Pilates Studio,Larnaca,
at4fitness-gym-nicosia,At4Fitness Gym,Nicosia,
aurora-pilates-studio-nicosia,Aurora Pilates Studio,Nicosia,
bad-dog-bjj-brazilian-jiu-jitsu-training-club-nickbjj-ayia-napa,BAD DOG BJJ | Brazilian Jiu-Jitsu Training Club | NICKBJJ Ayia Napa,Ayia Napa,
bareknuckle-crossfit-larnaca,BareKnuckle CrossFit,Larnaca,
be-different-gym-fitness-club-nicosia,BE Different Gym & Fitness Club,Nicosia,
bobi-boxing-club-nicosia,BOBI BOXING CLUB,Nicosia,
body-advance-personal-training-studio-limassol,Body Advance Personal Training Studio,Limassol,
body-explosion-fitness-place-nicosia,Body Explosion Fitness Place,Nicosia,
body-shape-gym-paralimni,BODY SHAPE GYM,Paralimni,
bodysense-healthfitness-centre-limassol,Bodysense Health&Fitness Centre,Limassol,
boxing-muscle-personal-boxing-fitness-training-larnaca,Boxing Muscle Personal Boxing & Fitness Training Larnaca,Larnaca,
calisthenicsworkout4allcy-paralimni,CalisthenicsWorkout4allcy,Paralimni,
catman-olympic-boxing-academy-c7m-limassol,Catman Olympic Boxing Academy C7M,Limassol,
champ-boxing-academy-limassol,Champ Boxing Academy,Limassol,
crossfit-limassol,Crossfit Limassol,Limassol,
curves-aglantzias-nicosia,Curves Aglantzias,Nicosia,
cyprus-top-team-ctt-larnaca,Cyprus Top Team CTT Larnaca,Larnaca,
datiki-diet-ayia-napa,Datiki Diet,Ayia Napa,
demari-wellness-and-spa-paralimni,Demari Wellness And Spa,Paralimni,
elit3-fitness-nutrition-larnaca,ELIT3 Fitness & Nutrition Larnaca,Larnaca,
en-somati-lifestyle-gym-personal-training-mma-academy-nicosia,En Somati - Lifestyle Gym Personal Training MMA Academy,Nicosia,
endless-flow-limassol,Endless Flow,Limassol,
eurogym-nicosia,EUROGYM,Nicosia,
expose-fitness-by-andreas-cosma-larnaca,Expose Fitness By Andreas Cosma,Larnaca,
for-me-clinical-physio-pilates-studio-nicosia,For Me Clinical Physio Pilates Studio,Nicosia,
fortius-boxing-academy-nicosia,FORTIUS BOXING ACADEMY,Nicosia,
foxteam-taekwondo-larnaca,FoxTeam Taekwondo Larnaca,Larnaca,
g-fitness-paphos,G Fitness,Paphos,
gabriel-fitness-boxing-gym-nicosia,Gabriel Fitness & Boxing Gym,Nicosia,
global-vale-tudo-combat-sports-academy-nicosia,Global Vale Tudo - Combat Sports Academy,Nicosia,
home-gym-nicosia,Home Gym,Nicosia,
in2motion-fitness-studio-nicosia,In2Motion Fitness Studio,Nicosia,
infinity-fitness-hall-nicosia,Infinity Fitness Hall,Nicosia,
iron-fitness-limassol,Iron Fitness,Limassol,
johnnys-gym-paphos,Johnny's Gym Paphos,Paphos,
johnnys-personal-training-paphos,Johnny's Personal Training Paphos,Paphos,
kalopedi-gym-limassol,Kalopedi Gym,Limassol,
kinetic-fitness-studio-limassol,Kinetic Fitness Studio,Limassol,
kinetic-pilates-studio-limassol,Kinetic Pilates Studio,Limassol,
kpk-performance-rehabilitation-center-limassol,Kpk Performance & Rehabilitation Center,Limassol,
live-studio-mike-larnaca,Live Studio Mike,Larnaca,
lumpinee-gym-muay-thai-muay-limassol,Lumpinee Gym - Muay Thai Limassol,Limassol,
mma-school-the-cage-limassol,Mma School The Cage,Limassol,
moksha-fitlab-larnaca,Moksha Fitlab,Larnaca,
momentum-fitness-wellness-nicosia,Momentum Fitness & Wellness,Nicosia,
mr-cyprus-gym-nicosia,Mr Cyprus Gym,Nicosia,
mythical-performance-paralimni,Mythical Performance,Paralimni,
old-town-fitness-studio-nicosia,Old Town Fitness Studio,Nicosia,
olympia-movement-larnaca,Olympia Movement,Larnaca,
onyx-boutique-gym-larnaca,Onyx Boutique Gym,Larnaca,
paphos-professional-boxing-gym,Paphos Professional Boxing Gym,Paphos,
paphos-thai-boxing-mma-fight-club-old-style-muay-thai,Paphos Thai Boxing & MMA Fight Club | Old Style Muay Thai,Paphos,
personal-trainer-paphos-kissonerga-peyia,Personal Trainer - Paphos Kissonerga & Peyia,Paphos,
piero-judo-academy-limassol,Piero Judo Academy,Limassol,
pilates-reformer-studio-paphos,Pilates Reformer Studio,Paphos,
progress-gym-limassol,Progress Gym,Limassol,
r-evolution-of-gym-limassol,R-Evolution Of Gym,Limassol,
rack-gym-larnaca,RACK GYM Larnaca,Larnaca,
raw-calisthenics-academy-limassol,Raw Calisthenics Academy,Limassol,
real-fit-nicosia,Real Fit,Nicosia,
renzo-gracie-nicosia-brazilian-jiu-jitsu-nicosia,Renzo Gracie Nicosia - Brazilian Jiu Jitsu,Nicosia,
return-rehabilitation-fitness-recovery-centre-ayia-napa,Return Rehabilitation & Fitness Recovery Centre,Ayia Napa,
riforma-pilates-studio-nicosia,Riforma Pilates Studio,Nicosia,
ryltoday-nicosia,Ryltoday,Nicosia,
sacred-roots-yoga-massage-paralimni,Sacred Roots Yoga & Massage,Paralimni,
samtsihara-fight-system-global-academy-larnaca,Samtsihara Fight System Global Academy,Larnaca,
savs-gym-limassol,SavS Gym,Limassol,
science-fit-nicosia,Science Fit,Nicosia,
soulution-pilates-more-paphos,Soulution Pilates & more Paphos,Paphos,
target-boxing-club-limassol,Target Boxing Club,Limassol,
