"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Taekwondo - Martial Arts","3.8","5","Friedrich Nietzsche 1","Larnaca",,"CY",,"+357 99 403132","Gym","https://www.google.com/maps/search/?api=1&query=Taekwondo%20-%20Martial%20Arts&query_place_id=ChIJg9dGUcKC4BQRNt7GqWOXLH8"
"YOGA LAB BY NATASA NIROU","5","4","Constantinou Kalogera","Larnaca",,"CY",,"+357 99 811618","Yoga studio","https://www.google.com/maps/search/?api=1&query=YOGA%20LAB%20BY%20NATASA%20NIROU&query_place_id=ChIJPwJ_3UGD4BQR0hb05U1ey3Q"
"Sport City","5","12","Constantinou Kalogera 36","Larnaca",,"CY",,"+357 24 002454","Sportswear store","https://www.google.com/maps/search/?api=1&query=Sport%20City&query_place_id=ChIJY6Wf-UWD4BQRIP603MKKRm0"
"Σχολή Ολυμπιακής - Ρυθμικής Γυμναστικής Ττοφή",,"0","Themidos 8","Larnaca",,"CY",,"+357 99 617828","Gymnastics center","https://www.google.com/maps/search/?api=1&query=%CE%A3%CF%87%CE%BF%CE%BB%CE%AE%20%CE%9F%CE%BB%CF%85%CE%BC%CF%80%CE%B9%CE%B1%CE%BA%CE%AE%CF%82%20-%20%CE%A1%CF%85%CE%B8%CE%BC%CE%B9%CE%BA%CE%AE%CF%82%20%CE%93%CF%85%CE%BC%CE%BD%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%AE%CF%82%20%CE%A4%CF%84%CE%BF%CF%86%CE%AE&query_place_id=ChIJser-qgkp3hQROTdq0nFrO4w"
"Level Studio","4","4","Vasileos Kostantinou","Larnaca",,"CY","http://www.level.studio/","+357 99 045017","Personal trainer","https://www.google.com/maps/search/?api=1&query=Level%20Studio&query_place_id=ChIJJ0Zhxq-C4BQR8Sb_6AZQbNo"
"SMR (Gesy/ΓΕΣΥ)","4.7","15","Chrysopolitissis 30","Larnaca",,"CY",,"+357 99 019801","Physical therapist","https://www.google.com/maps/search/?api=1&query=SMR%20(Gesy%2F%CE%93%CE%95%CE%A3%CE%A5)&query_place_id=ChIJjasBZHCD4BQRfKKGwyoIFpY"
"Cora Stretching & Dance Studio","5","3","Spyrou Kyprianou","Germasogeia",,"CY","https://cora-larnaca-studio-vibes.lovable.app/",,"Pilates studio","https://www.google.com/maps/search/?api=1&query=Cora%20Stretching%20%26%20Dance%20Studio&query_place_id=ChIJJ243KVIp3hQRajEDbbFmSeE"
"STUDIO 27 fitness center","5","5","Manou Katraki 12","Larnaca",,"CY",,"+357 99 147846","Gymnastics center","https://www.google.com/maps/search/?api=1&query=STUDIO%2027%20fitness%20center&query_place_id=ChIJ69Hywd-D4BQRqLa5-3apaS4"
"FoxTeam Taekwondo Larnaca","5","14","Kleanthi Mesologgiti 4","Larnaca",,"CY",,"+357 96 005111","Fitness center","https://www.google.com/maps/search/?api=1&query=FoxTeam%20Taekwondo%20Larnaca&query_place_id=ChIJy5fnxgqd4BQRN-FaFfqIgOc"
"Soul Space Pilates Studio","3.5","2","Giganton","Larnaca",,"CY",,"+357 99 083031","Yoga studio","https://www.google.com/maps/search/?api=1&query=Soul%20Space%20Pilates%20Studio&query_place_id=ChIJSeofaK0p3hQRmsth-INCkeE"
"Pole Queens","4.5","2","Petraki Kyprianou","Larnaca",,"CY",,,"Fitness center","https://www.google.com/maps/search/?api=1&query=Pole%20Queens&query_place_id=ChIJo3To7h4n3hQRzD4_DCupP2A"
"Cyprus Bujinkan Dojo - Larnaka","5","1","WHHR+2W3, Pentadaktylou","Larnaca",,"CY","https://www.ninjacy.com/","+357 99 535386","Gym","https://www.google.com/maps/search/?api=1&query=Cyprus%20Bujinkan%20Dojo%20-%20Larnaka&query_place_id=ChIJXRqo_NCd4BQRFTHUl4P_1XY"
"Bodybuilding Club","5","24","Λεωφόρος Αρχιεπισκόπου Μακαρίου ΙΙΙ 48","Larnaca",,"CY","http://www.bbclub.com.cy/","+357 24 102862","Sports nutrition store","https://www.google.com/maps/search/?api=1&query=Bodybuilding%20Club&query_place_id=ChIJfaYBKRko3hQRkL66LQMQNC8"
"WellNest Pilates Studio","5","17","Orthodoxias 1","Larnaca",,"CY",,"+357 96 125943","Pilates studio","https://www.google.com/maps/search/?api=1&query=WellNest%20Pilates%20Studio&query_place_id=ChIJxd1DIQGd4BQRj1gI-E52i-U"
"Earth Spa Larnaca","4.6","60","Panorama Court, Costa Markidi 10","Larnaca",,"CY","https://earthspa.com.cy/","+357 24 658808","Spa","https://www.google.com/maps/search/?api=1&query=Earth%20Spa%20Larnaca&query_place_id=ChIJs9TwHcOC4BQR1Ss2mc2Z6nI"
"Ttofi Swimming Learning Center","5","137","Themidos 8","Larnaca",,"CY",,"+357 24 636166","Indoor swimming pool","https://www.google.com/maps/search/?api=1&query=Ttofi%20Swimming%20Learning%20Center&query_place_id=ChIJywExLwEp3hQRM5cBl25cS8o"
"Live Studio Mike","5","47","Anafis 5","Larnaca",,"CY","http://www.livestudiomike.com/","+357 96 502449","Fitness center","https://www.google.com/maps/search/?api=1&query=Live%20Studio%20Mike&query_place_id=ChIJW3XMDRWd4BQRtN8fel9NrwU"
"EPlarkou Pilates","5","16","Legacy-Chris Antoniou, Rafael Santi 28","Larnaca",,"CY",,"+357 99 377970","Pilates studio","https://www.google.com/maps/search/?api=1&query=EPlarkou%20Pilates&query_place_id=ChIJpa1Udwcn3hQRApwp1X-NRy4"
"AKTIVE by Tsiappoutas","5","3","Grevenon 6043","Larnaca",,"CY",,"+357 99 847754","Gym","https://www.google.com/maps/search/?api=1&query=AKTIVE%20by%20Tsiappoutas&query_place_id=ChIJLYr2_Jgp3hQR7KqpfaDvW8w"
"Stamina Gym","5","1","Ammochostou Avenue 52 Larnaca","Pyla",,"CY",,"+357 97 660606","Gym","https://www.google.com/maps/search/?api=1&query=Stamina%20Gym&query_place_id=ChIJW7s2xyIp3hQRXUqDFUI5M-w"
"TechnoFit EMS Studio","5","1","2 Parou St. & Faneromenis Ave Larnaca","Larnaca",,"CY","https://www.technofit.com.cy/ems-%CF%83%CF%84%CE%BF%CF%8D%CE%BD%CF%84%CE%B9%CE%BF-%CE%BA%CF%8D%CF%80%CF%81%CE%BF%CF%82/%CE%BB%CE%AC%CF%81%CE%BD%CE%B1%CE%BA%CE%B1/","+357 24 360066","Wellness center","https://www.google.com/maps/search/?api=1&query=TechnoFit%20EMS%20Studio&query_place_id=ChIJDVEvQVqd4BQRh1Na1croOjI"
"Peak Performance Physiotherapy & Fitness Studio","5","5","Atlantidon 14","Larnaca",,"CY",,"+357 97 607746","Fitness center","https://www.google.com/maps/search/?api=1&query=Peak%20Performance%20Physiotherapy%20%26%20Fitness%20Studio&query_place_id=ChIJfWpG9vMp3hQR5TtIzQqHZsg"
"Siam Muay Thai Gym - Liasis Team","5","7","WJ4M+54M","Larnaca",,"CY",,"+357 99 415842","Martial arts club","https://www.google.com/maps/search/?api=1&query=Siam%20Muay%20Thai%20Gym%20-%20Liasis%20Team&query_place_id=ChIJ9ab9fACD4BQRW3S5p84bPcU"
"A Studio Pilates & Fitness","5","39","Eleftherias 84 Larnaca, 7101","Aradippou",,"CY",,"+357 96 290414","Pilates studio","https://www.google.com/maps/search/?api=1&query=A%20Studio%20Pilates%20%26%20Fitness&query_place_id=ChIJrwgBtf-d4BQROxSg6I91UOM"
"Moksha FitLab","5","17","faneromenis avenue 189-191","Larnaca",,"CY",,"+357 99 075781","Pilates studio","https://www.google.com/maps/search/?api=1&query=Moksha%20FitLab&query_place_id=ChIJ2dYSfw0p3hQRT0Ib0U3ChA8"
"Alignment Pilates studio","4.9","66","Artemidos","Larnaca",,"CY",,"+357 99 646996","Pilates studio","https://www.google.com/maps/search/?api=1&query=Alignment%20Pilates%20studio&query_place_id=ChIJSYbL_UqD4BQRlKhb4ZujylA"
"Pampos Georgoudes(Fight Club)","5","9","Atlantidon","Larnaca",,"CY","http://www.pampos-cy.com/","+357 99 695475","Boxing club","https://www.google.com/maps/search/?api=1&query=Pampos%20Georgoudes(Fight%20Club)&query_place_id=ChIJseqkHBco3hQRwfmqbCwN9Kk"
"BareKnuckle CrossFit","5","36","Faneromenis Ave 225","Larnaca",,"CY","http://www.bareknucklecrossfit.com/","+357 96 674327","Gym","https://www.google.com/maps/search/?api=1&query=BareKnuckle%20CrossFit&query_place_id=ChIJFw9Ypmud4BQRSYCxHLG8YDs"
"Gymland Ματσαγγίδης","4.5","11","Dimonikou 9","Larnaca",,"CY",,"+357 24 623520","Fitness center","https://www.google.com/maps/search/?api=1&query=Gymland%20%CE%9C%CE%B1%CF%84%CF%83%CE%B1%CE%B3%CE%B3%CE%AF%CE%B4%CE%B7%CF%82&query_place_id=ChIJLWFC2qCC4BQRGY9_BLDaygM"
"Vital Strength Training","5","13","Artemidos 24","Larnaca",,"CY","http://vitalstrength.fit/","+357 99 295679","Personal trainer","https://www.google.com/maps/search/?api=1&query=Vital%20Strength%20Training&query_place_id=ChIJO2-7b6aD4BQRsrQpH1FRfik"
"On & Off Supplement Store","4.6","31","23, Grigori Afxentiou Avenue, Pelagias Building, Shops 3-4 Larnaca","Larnaca",,"CY","https://www.facebook.com/OnandOffSupplements/","+357 24 333509","Vitamin & supplements store","https://www.google.com/maps/search/?api=1&query=On%20%26%20Off%20Supplement%20Store&query_place_id=ChIJt3JLyKaC4BQRR0Cd37ANggU"
"Chalkas - Specialised Training Center","5","6","Kozanis 1","Larnaca",,"CY","http://www.chalkasfitness.com/","+357 99 114209","Gym","https://www.google.com/maps/search/?api=1&query=Chalkas%20-%20Specialised%20Training%20Center&query_place_id=ChIJrV_pLxYn3hQRkHSq1s3np3I"
"Olympia Movement","5","17","Iacovou Patatsou","Larnaca",,"CY",,"+357 99 319223","Gymnastics center","https://www.google.com/maps/search/?api=1&query=Olympia%20Movement&query_place_id=ChIJJ1HvAZIn3hQRSQ5vHVINKuc"
"Andreas Zachariou Holistic Sport Clinic","4.9","95","Eleftherias 84 Larnaca","Aradippou",,"CY","http://www.andreaszachariou.com/","+357 70 003400","Gym","https://www.google.com/maps/search/?api=1&query=Andreas%20Zachariou%20Holistic%20Sport%20Clinic&query_place_id=ChIJM6cq8F-d4BQRY7dSgcILQjs"
"Transition Hub","5","14","Kyriakou Matsi","Aradippou",,"CY","https://www.instagram.com/transitionhubcy/","+357 99 971798","Sports club","https://www.google.com/maps/search/?api=1&query=Transition%20Hub&query_place_id=ChIJqcWcnBwn3hQRIy2saXjDykc"
"Gymnastics Hall Larnaca","4.9","17","Iacovou Patatsou 29","Larnaca",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Gymnastics%20Hall%20Larnaca&query_place_id=ChIJef2pKrSd4BQRjIhuCMLhNII"
"On & Off Strength Gear - Όργανα Γυμναστικής","5","23","Grigori Afxentiou 23 Pelagia Building - Shops: A1-A2 Larnaca","Larnaca",,"CY","http://onnoff-strengthgear.com/","+357 24 333509","Fitness equipment wholesaler","https://www.google.com/maps/search/?api=1&query=On%20%26%20Off%20Strength%20Gear%20-%20%CE%8C%CF%81%CE%B3%CE%B1%CE%BD%CE%B1%20%CE%93%CF%85%CE%BC%CE%BD%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%AE%CF%82&query_place_id=ChIJC51kthCD4BQR5pa6AoBuEI0"
"Fit Club Larnaca personal-semi personal training","5","2","Georgiou Griva Digeni 86 A","Larnaca",,"CY",,"+357 99 811946","Gym","https://www.google.com/maps/search/?api=1&query=Fit%20Club%20Larnaca%20personal-semi%20personal%20training&query_place_id=ChIJmSVW_fOd4BQR4nBdeZfIgtQ"
"weightlifting club","4.8","14","Astypaleas 5","Larnaca",,"CY","https://mmstrengthcc.secure.simplybook.it/v2/","+357 99 445963","Sports club","https://www.google.com/maps/search/?api=1&query=weightlifting%20club&query_place_id=ChIJn0EQbBYo3hQRys1JI2lhBn8"
"Gym On Roof","5","1","WJHH+H9J, Giganton","Larnaca",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Gym%20On%20Roof&query_place_id=ChIJj6J1QLMp3hQR38NjSobfexg"
"Outdoor Gym","3.6","5","WJ8Q+Q49","Larnaca",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Outdoor%20Gym&query_place_id=ChIJLbjXYM2D4BQRe8JOOZd_wVg"
"Cyprus Ninja Academy","5","5","Nicou Demetriou 43","Larnaca",,"CY","https://www.instagram.com/cyprusninjaacademy/","+357 99 801798","Sports club","https://www.google.com/maps/search/?api=1&query=Cyprus%20Ninja%20Academy&query_place_id=ChIJlSMd-82D4BQRclc7Egvocus"
"C. Larnaca Red Box","5","28","Dodekanisou 2","Larnaca",,"CY",,"+357 99 681659","Gym","https://www.google.com/maps/search/?api=1&query=C.%20Larnaca%20Red%20Box&query_place_id=ChIJSadR8BYo3hQRpOcRGGeTSkk"
"Outdoor Calisthenics Workout Spot","4.9","13","Piale Pasa 15","Larnaca",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Outdoor%20Calisthenics%20Workout%20Spot&query_place_id=ChIJmwOWGQCD4BQRBiYI5B21OAI"
"Cyprus Top Team CTT(MMA, KICKBOXING, MUAYTHAI,BJJ, FITNESS, GYM)","5","54","Ivikou 52","Larnaca",,"CY",,"+357 96 548779","Martial arts school","https://www.google.com/maps/search/?api=1&query=Cyprus%20Top%20Team%20CTT(MMA%2C%20KICKBOXING%2C%20MUAYTHAI%2CBJJ%2C%20FITNESS%2C%20GYM)&query_place_id=ChIJqfoTftMp3hQR-cJYATjML8Y"
"ELIT3 fitness & nutrition","4.9","27","Stadiou 116","Larnaca",,"CY",,"+357 24 253231","Gym","https://www.google.com/maps/search/?api=1&query=ELIT3%20fitness%20%26%20nutrition&query_place_id=ChIJGRYB9tCD4BQRyBQ_CCne_yo"
"The Big Gym of functional training and yoga.","5","13","Georgiou & Katoli 1","Larnaca",,"CY","http://3stepsbeyond.de/gym",,"Gym","https://www.google.com/maps/search/?api=1&query=The%20Big%20Gym%20of%20functional%20training%20and%20yoga.&query_place_id=ChIJNaa0ZwCD4BQRfzWPvzHauSA"
"Diaplasis Premium Fitness","4.5","31","WJJF+645 Agioi Anargyroi, Spyrou Kyprianou 86","Larnaca",,"CY",,"+357 24 663878","Gym","https://www.google.com/maps/search/?api=1&query=Diaplasis%20Premium%20Fitness&query_place_id=ChIJK0iRhIon3hQRr_fNWDy7Z6A"
"The Industry Fitness Club by SMR","5","1","Chrysopolitissis 30","Larnaca",,"CY",,"+357 99 682326","Fitness center","https://www.google.com/maps/search/?api=1&query=The%20Industry%20Fitness%20Club%20by%20SMR&query_place_id=ChIJY1AKhD2D4BQR49KLSEAoux0"
"Samtsihara Fight System Global Academy","5","437","WJGM+8GX, Pavlou Valdaseridi","Larnaca",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Samtsihara%20Fight%20System%20Global%20Academy&query_place_id=ChIJ8fLR538p3hQR18TXFtfbtZ0"
"Pro.fit center","4.3","44","Αυστραλίας 2-6046","Aradippou",,"CY",,"+357 96 268420","Gym","https://www.google.com/maps/search/?api=1&query=Pro.fit%20center&query_place_id=ChIJWV6yRVid4BQR5OtgAC3FDB4"
"Onyx Boutique Gym","5","11","Agion Anargiron 40","Larnaca",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Onyx%20Boutique%20Gym&query_place_id=ChIJJ6ltxhcp3hQRU1tQU_Os1n0"
"The Big Gym of Muay Thai and Fitness Larnaca","4.8","38","Faneromenis 51-53","Larnaca",,"CY","http://www.thebiggymcy.com/","+357 95 732382","Martial arts school","https://www.google.com/maps/search/?api=1&query=The%20Big%20Gym%20of%20Muay%20Thai%20and%20Fitness%20Larnaca&query_place_id=ChIJu_F-y2AZ3hQRwwSsu89DZHE"
"Arise Active","4.5","157","Acropoleos Avenue 23","Aradippou",,"CY","http://www.ariseactive.eu/","+357 70 004545","Gym","https://www.google.com/maps/search/?api=1&query=Arise%20Active&query_place_id=ChIJW3OaCIYn3hQRRli9C--mbGA"
"Legacy - Chris Antoniou Training","5","84","Rafael Santi 28","Larnaca",,"CY",,"+357 77 777756","Gym","https://www.google.com/maps/search/?api=1&query=Legacy%20-%20Chris%20Antoniou%20Training&query_place_id=ChIJG8qMsa2C4BQRdldFNPNoFBk"
