"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Alexia Mouzouridou",,"0","Walter Gropius 26A","Limassol",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Alexia%20Mouzouridou&query_place_id=ChIJu0H8PFAz5xQRTlYv709Bgk8"
"Live dance","5","1","Eptanisou 14a","Limassol",,"CY","http://live-dance-studio.club/","+357 99 171757","Gym","https://www.google.com/maps/search/?api=1&query=Live%20dance&query_place_id=ChIJ47A-y5Uz5xQRxZh9uv1RlwE"
"Central Balance","5","4","Stygos 29","Limassol",,"CY","http://www.centralbalance.net/","+357 25 720807","Rehabilitation center","https://www.google.com/maps/search/?api=1&query=Central%20Balance&query_place_id=ChIJv637IQAz5xQRowa7a0v8Hac"
"Flips & Hops","5","6","Georgiou Dimosthenous 11 Agios Georgios","Chavouzas",,"CY","http://www.flipsandhops.com/","+357 99 310576","Gym","https://www.google.com/maps/search/?api=1&query=Flips%20%26%20Hops&query_place_id=ChIJj_yIYMMz5xQRBK9imyuwXtM"
"Studio Figura Agia Zoni","5","1","Kirzis Center, Emannouli Roidi","Limassol",,"CY",,"+357 25 567560","Fitness center","https://www.google.com/maps/search/?api=1&query=Studio%20Figura%20Agia%20Zoni&query_place_id=ChIJs44WMDwz5xQRbprfgAZfdQs"
"Ballet School & Pilates Studio Monika Perikleous","5","18","Kosti Palama 57","Limassol",,"CY","https://www.monicadancepilatesstudio.com/","+357 99 785748","Pilates studio","https://www.google.com/maps/search/?api=1&query=Ballet%20School%20%26%20Pilates%20Studio%20Monika%20Perikleous&query_place_id=ChIJBXuRW18z5xQRfJfVnA2LtM8"
"Jimmy's Boxing Club","5","2","P. Anagnostopoulou 4153","Kato Polemidia",,"CY",,,"Boxing gym","https://www.google.com/maps/search/?api=1&query=Jimmy's%20Boxing%20Club&query_place_id=ChIJkV24WkMz5xQRDpWewk5bH1I"
"Sanctum at Icon","5","4","Georgiou 'A 89","Germasogeia",,"CY","https://www.sanctum.life/sanctum-at-the-icon/","+357 25 249966","Gym","https://www.google.com/maps/search/?api=1&query=Sanctum%20at%20Icon&query_place_id=ChIJu85zdafL4BQRCHrNazvznLI"
"Buckle Up by Andreas Petsides","5","4","M2PC+XF3, Λεωφόρος Νίκου και Δέσποινας Παττίχη","Limassol",,"CY",,,"Personal trainer","https://www.google.com/maps/search/?api=1&query=Buckle%20Up%20by%20Andreas%20Petsides&query_place_id=ChIJwSJuCgwz5xQRGBhMcNVQogY"
"MegaSport Mini Football Club","4.5","2","178, Fr. Roosevelt Ave, Limassol, Cyprus","Limassol",,"CY",,"+357 25 575655","Gym","https://www.google.com/maps/search/?api=1&query=MegaSport%20Mini%20Football%20Club&query_place_id=ChIJ50hXPEAy5xQR-B7JOIT1l48"
"Inner Power Center Martial Arts","5","2","M2QJ+M9W, Καλλικράτους","Limassol",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Inner%20Power%20Center%20Martial%20Arts&query_place_id=ChIJqxOgXZYz5xQR6fq4VTSXmNI"
"Kangoo Jumps Maria limassol","5","4","Omonoias 54","Limassol",,"CY",,"+357 99 867079","Fitness center","https://www.google.com/maps/search/?api=1&query=Kangoo%20Jumps%20Maria%20limassol&query_place_id=ChIJXcYofAwz5xQRJBGxieIwmiE"
"Healthy Corner","1","3","MXVX+6RW Κάτω Πολεμίδια, Παρ. Παναγίας Ευαγγελιστριας","Kato Polemidia",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Healthy%20Corner&query_place_id=ChIJr-7LPtAz5xQRkjQ_4Y-buGU"
"Vinyasa Yoga Studio Limassol","5","17","Athina Court, Ypsilantou 6","Limassol",,"CY","http://www.vinyasayogacyprus.com/","+357 25 106848","Yoga studio","https://www.google.com/maps/search/?api=1&query=Vinyasa%20Yoga%20Studio%20Limassol&query_place_id=ChIJNYF_B0Yz5xQR3nK863-_sZs"
"Spiral Studio","5","1","15, Stratigou Makrigianni","Limassol",,"CY","http://www.spiralstudio.eu/","+357 99 467087","Pilates studio","https://www.google.com/maps/search/?api=1&query=Spiral%20Studio&query_place_id=ChIJCTxbywAz5xQR11XhSu2RYwU"
"Danceland Studio","5","54","Corner Grigori Afxentiou & 1st of April","Mesa Geitonia",,"CY","http://dancelandcyprus.com/","+357 96 550690","Dance school","https://www.google.com/maps/search/?api=1&query=Danceland%20Studio&query_place_id=ChIJVR3xhxIz5xQR1_g1AXH1bAU"
"Calisthenics park","5","2","M3WG+3CQ","Germasogeia",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Calisthenics%20park&query_place_id=ChIJRxS0ZQAz5xQRs-tyCGJ0Z9c"
"PIERO JUDO ACADEMY","5","122","Eustathiou Paraskeva 18","Limassol",,"CY",,"+357 99 580158","Judo school","https://www.google.com/maps/search/?api=1&query=PIERO%20JUDO%20ACADEMY&query_place_id=ChIJa-JzUfwz5xQRLji-kF1I6z4"
"Gracie Barra Cyprus","5","11","Michael Zavou 25","Agios Athanasios",,"CY","http://www.graciebarracyprus.com/","+357 99 903822","Martial arts school","https://www.google.com/maps/search/?api=1&query=Gracie%20Barra%20Cyprus&query_place_id=ChIJbx8g26Y05xQRTz_j8BiZ8rE"
"Elenion Health and Beauty Center","4.9","15","Myrtiotissis 10","Germasogeia",,"CY",,"+357 25 321038","Fitness center","https://www.google.com/maps/search/?api=1&query=Elenion%20Health%20and%20Beauty%20Center&query_place_id=ChIJ78Nrq1bL4BQR6Y58IrDOWwE"
"The Inner Flame Yoga/Pilates/Thai massage","5","8","Steliou Kiriakidi","Limassol",,"CY","https://www.theinnerflame.net/","+357 99 997851","Yoga studio","https://www.google.com/maps/search/?api=1&query=The%20Inner%20Flame%20Yoga%2FPilates%2FThai%20massage&query_place_id=ChIJQzC2TKEz5xQR7jsyYNcTB5Q"
"Cosmos Gymnasium by Lg","5","5","P34P+P83, Spyrou Kyprianou","Germasogeia",,"CY",,"+357 97 990102","Gym","https://www.google.com/maps/search/?api=1&query=Cosmos%20Gymnasium%20by%20Lg&query_place_id=ChIJUw1aewDL4BQRMd0HsKjUHy0"
"The Bodyflow Studio Sea | Pole dance & Aerial","4.9","29","Eyelnthontos 4","Limassol",,"CY","https://www.thebodyflowstudio.com/","+357 96 893776","Dance school","https://www.google.com/maps/search/?api=1&query=The%20Bodyflow%20Studio%20Sea%20%7C%20Pole%20dance%20%26%20Aerial&query_place_id=ChIJ-09Oincz5xQRPGhW8roL5DM"
"Taeker Kick","5","17","Stavraetou Machaira 22","Agios Athanasios",,"CY",,"+357 96 776055","Gym","https://www.google.com/maps/search/?api=1&query=Taeker%20Kick&query_place_id=ChIJ3TPcSGIz5xQRupCk15iI6vg"
"Open air Fitness","5","2","M3RG+475, Kean","Germasogeia",,"CY",,,"Fitness center","https://www.google.com/maps/search/?api=1&query=Open%20air%20Fitness&query_place_id=ChIJn1RuUtQz5xQRf3zZgJkxxIc"
"Nak Muay Riot","5","5","M2WH+6HG, Pylou","Limassol",,"CY",,,"Muay Thai boxing gym","https://www.google.com/maps/search/?api=1&query=Nak%20Muay%20Riot&query_place_id=ChIJy4YRYAYz5xQRqhkRqWQD0Wk"
"Pull up bar","5","1","M2JH+M4J, Iouliou Vern","Limassol",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Pull%20up%20bar&query_place_id=ChIJUc90LgAz5xQRYtgeDL4e7ik"
"Insparring Boxing - Performance - Rehabilitation","5","1","Zenonos 48/1","Limassol",,"CY",,"+357 99 153251","Gym","https://www.google.com/maps/search/?api=1&query=Insparring%20Boxing%20-%20Performance%20-%20Rehabilitation&query_place_id=ChIJ2fuDphoz5xQRD-U9PGACwDs"
"House of Jiu Jitsu","5","33","Arch. Makarios III Avenue 103","Avenue",,"CY","https://www.houseofjj.online/","+357 99 597884","Gym","https://www.google.com/maps/search/?api=1&query=House%20of%20Jiu%20Jitsu&query_place_id=ChIJ__978qgz5xQRHpb6si6TdVY"
"Limassol Fitness","5","11","Eleftherias 109-3042","Limassol",,"CY","http://limassol-fitness.com/","+357 95 144819","Personal trainer","https://www.google.com/maps/search/?api=1&query=Limassol%20Fitness&query_place_id=ChIJiQul3m8z5xQRt9wLgFJWq0w"
"TrainMe fitness studio","5","3","Kritis 14","Limassol",,"CY",,"+357 99 661586","Gymnastics club","https://www.google.com/maps/search/?api=1&query=TrainMe%20fitness%20studio&query_place_id=ChIJs0z4s-cz5xQRqMCbqru9QjQ"
"AA PILATES & FITNESS STUDIO LTD","5","1","Miltonos","Limassol",,"CY","https://aafitnessstudio.com/","+357 99 925385","Fitness center","https://www.google.com/maps/search/?api=1&query=AA%20PILATES%20%26%20FITNESS%20STUDIO%20LTD&query_place_id=ChIJqUKqa1wz5xQRdVGLNgG5jCw"
"Russian Boxing School","5","8","M2FQ+Q7M 129, Eleftherias","Limassol",,"CY",,"+357 99 011149","Gym","https://www.google.com/maps/search/?api=1&query=Russian%20Boxing%20School&query_place_id=ChIJwdkhQOIz5xQRNQP4XT9qQCc"
"Soul Vibe Space","4.7","12","Agias Zonis 50","Limassol",,"CY","https://soulvibespace.simplybook.it/","+357 95 642888","Yoga studio","https://www.google.com/maps/search/?api=1&query=Soul%20Vibe%20Space&query_place_id=ChIJ5XeWpA4z5xQR-yGiQUsw_cM"
"2 Sisters Studio","5","3","Ifigeneias 5","Kato Polemidia",,"CY",,"+357 70 006636","Gym","https://www.google.com/maps/search/?api=1&query=2%20Sisters%20Studio&query_place_id=ChIJ121amH0x5xQRm_bVOpeQp_U"
"B.P",,"0","M2Q2+CH5, 10th Rd","Kato Polemidia",,"CY",,,"Pilates studio","https://www.google.com/maps/search/?api=1&query=B.P&query_place_id=ChIJHenqeQAz5xQRrdqi4QJnUeg"
"Limassol Crew Academy | Muay Thai - Krav Maga","5","3","Vasileos Pavlou 44","Limassol",,"CY",,"+357 70 070018","Muay Thai boxing gym","https://www.google.com/maps/search/?api=1&query=Limassol%20Crew%20Academy%20%7C%20Muay%20Thai%20-%20Krav%20Maga&query_place_id=ChIJXwWegXYz5xQRVEnYB-CZo6o"
"Endless Flow","5","10","Amfissis 6","Limassol",,"CY",,,"Pilates studio","https://www.google.com/maps/search/?api=1&query=Endless%20Flow&query_place_id=ChIJvTDfcy8z5xQRPkm1KkE9OqM"
"Nicos Solomonides Indoor Arena (AEL)","4.5","19","Μόρφου 9A","Limassol",,"CY","http://actioninsports.com/",,"Gym","https://www.google.com/maps/search/?api=1&query=Nicos%20Solomonides%20Indoor%20Arena%20(AEL)&query_place_id=ChIJVxNtFFEy5xQRqajVcmxdSKU"
"no75space","5","27","Thesalonikis 75-3025","Limassol",,"CY","http://no75space.com/","+357 99 000055","Pilates studio","https://www.google.com/maps/search/?api=1&query=no75space&query_place_id=ChIJhQdRPAkz5xQRG7NNJAG20gk"
