"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Tennis court","4","9","Koritsas Ave 13","Paphos",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Tennis%20court&query_place_id=ChIJx_gCvDIH5xQRTIQQE7R3DGo"
"The Hood fitness house","5","16","Amathountos","Konia",,"CY",,"+357 99 050192","Gym","https://www.google.com/maps/search/?api=1&query=The%20Hood%20fitness%20house&query_place_id=ChIJQ0sGhScF5xQRwHKl4HKU4Do"
"Kings Brazilian Jiu Jitsu","5","64",,"Paphos",,"CY","http://www.kingsbjj.com/","+357 99 923388","Martial arts school","https://www.google.com/maps/search/?api=1&query=Kings%20Brazilian%20Jiu%20Jitsu&query_place_id=ChIJW21kYWEH5xQROlH-YcR0UUA"
"IJS - International JiuJitsu School","5","105","66 & Corner, Ellados Avenue 2","Paphos",,"CY","http://www.ijs-bjj.com/","+357 99 136718","Jujitsu school","https://www.google.com/maps/search/?api=1&query=IJS%20-%20International%20JiuJitsu%20School&query_place_id=ChIJ49_xGzYH5xQRaKGPO51oAN0"
"Pilates Reformer Studio","5","13","Laouri Ioanni 30","Paphos",,"CY",,"+357 99 180656","Pilates studio","https://www.google.com/maps/search/?api=1&query=Pilates%20Reformer%20Studio&query_place_id=ChIJZWrLM_UH5xQRp5U73n-4bEo"
"Sport - Outdoor Gym","4.3","4","QCV9+2HR","Chlorakas",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Sport%20-%20Outdoor%20Gym&query_place_id=ChIJYf0a_IcH5xQRMLqHzKLjWzY"
"ZR JIU JITSU","4.9","17","Ioanni Agroti 11","Paphos",,"CY","https://m.facebook.com/pages/category/Community/Ze-Radiola-Team-Cyprus-580163358824687/","+357 99 028069","Martial arts school","https://www.google.com/maps/search/?api=1&query=ZR%20JIU%20JITSU&query_place_id=ChIJzwkD63kH5xQRMAxuTZDIWIQ"
"SoulutionPilates&more","4.5","22","25 Martiou 38","Paphos",,"CY",,"+357 96 724446","Pilates studio","https://www.google.com/maps/search/?api=1&query=SoulutionPilates%26more&query_place_id=ChIJPwMrCf8H5xQReKh0gMf6IOw"
"TEAM AKOPIAN","4.7","20","Nikou Kazantzaki","Paphos",,"CY","https://m.facebook.com/artouros.akopian/","+357 96 872909","Martial arts club","https://www.google.com/maps/search/?api=1&query=TEAM%20AKOPIAN&query_place_id=ChIJ1clN7JUH5xQRDs-swlkmLew"
"SOMA FITNESS STUDIO","5","2","Marcantoniou Bragadinou","Paphos",,"CY","https://www.instagram.com/soma_fitness_studio?igsh=aG4yaGZyYm96eXhz","+357 99 838173","Pilates studio","https://www.google.com/maps/search/?api=1&query=SOMA%20FITNESS%20STUDIO&query_place_id=ChIJIeZM98wH5xQRpjzucf_YzwM"
"Premium Personal Training Paphos - Syna Gensterblum","5","1","Marathonos 5","Chlorakas",,"CY","https://www.syna-gensterblum.com/",,"Gym","https://www.google.com/maps/search/?api=1&query=Premium%20Personal%20Training%20Paphos%20-%20Syna%20Gensterblum&query_place_id=ChIJM3h9COoJ5xQR6JRNM8ynPyQ"
"Furious Fighters","5","32","Ionias 31","Paphos",,"CY","https://www.instagram.com/furious_fighters_","+357 97 904854","Martial arts school","https://www.google.com/maps/search/?api=1&query=Furious%20Fighters&query_place_id=ChIJc1QJi7wH5xQRoSHhT9LPk64"
"MUAY THAI MASTER PARASKOS SIAMYOUT PAPHOS","5","5","Alexandrou Ipsilanti 23","Paphos",,"CY",,"+357 96 687979","Muay Thai boxing gym","https://www.google.com/maps/search/?api=1&query=MUAY%20THAI%20MASTER%20PARASKOS%20SIAMYOUT%20PAPHOS&query_place_id=ChIJV9hG0a8H5xQR04RWUP_I3CE"
