"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"BODY SHAPE GYM","4.5","34","1st April 39","Paralimni",,"CY",,"+357 23 820111","Gym","https://www.google.com/maps/search/?api=1&query=BODY%20SHAPE%20GYM&query_place_id=ChIJQykSK_nF3xQRvNVpq6-sa9w"
"BODYART FITNESS CENTER","5","151","Ανδρέα Παναγίδη","Paralimni",,"CY",,"+357 99 324595","Gym","https://www.google.com/maps/search/?api=1&query=BODYART%20FITNESS%20CENTER&query_place_id=ChIJt2V0dv7F3xQRLWt49hDnYgw"
"Tarzan fight club",,"0","Protara 273-Shop 1","Paralimni",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Tarzan%20fight%20club&query_place_id=ChIJcbjSSwDH3xQRJ17ABrcJLrk"
"Vitality Spa & Wellness center","4.8","19","Βυζακιάς 4","Paralimni",,"CY",,"+357 23 832043","Spa","https://www.google.com/maps/search/?api=1&query=Vitality%20Spa%20%26%20Wellness%20center&query_place_id=ChIJBbMOg1nD3xQRnqAAwl9Z8UA"
"BAD DOG BJJ | Brazilian Jiu-Jitsu Training Club | NICKBJJ","5","102","Dimokratias 27","Ayia Napa",,"CY","http://www.baddogbjj.com/","+357 96 597568","Martial arts school","https://www.google.com/maps/search/?api=1&query=BAD%20DOG%20BJJ%20%7C%20Brazilian%20Jiu-Jitsu%20Training%20Club%20%7C%20NICKBJJ&query_place_id=ChIJ-yLP_KnI3xQRjopNcCSLwks"
"Mythical Performance","4.7","44","Georgiou Drosini","Paralimni",,"CY",,"+357 99 760439","Gym","https://www.google.com/maps/search/?api=1&query=Mythical%20Performance&query_place_id=ChIJP5uGy8fH3xQReSfavn8QF1w"
"Demari Wellness and Spa","4.5","26","Protara 259","Paralimni",,"CY",,"+357 23 731111","Gym","https://www.google.com/maps/search/?api=1&query=Demari%20Wellness%20and%20Spa&query_place_id=ChIJm-54_WTG3xQRHsmGEJcO2LQ"
"datiki diet","5","11","Dimokratias 5","Ayia Napa",,"CY","http://www.datikidiaita.com/","+357 23 725757","Fitness center","https://www.google.com/maps/search/?api=1&query=datiki%20diet&query_place_id=ChIJUbPvq8LF3xQR9M0MeUUei04"
"Golden Coast Beach hotel gym","3.6","7","22PP+QPG","Paralimni",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Golden%20Coast%20Beach%20hotel%20gym&query_place_id=ChIJHTw-MQDH3xQR4udDMmx23gA"
"LimitlessXposed","5","11","Akropoleos 161","Paralimni",,"CY","http://www.limitlessxposed.com/",,"Fitness center","https://www.google.com/maps/search/?api=1&query=LimitlessXposed&query_place_id=ChIJXaoIQ_LH3xQR_1S2uS3AkDU"
"Return Rehabilitation & Fitness recovery centre","4.5","58","Martiou 25 Ayia Napa","Ayia Napa",,"CY",,"+357 99 873980","Fitness center","https://www.google.com/maps/search/?api=1&query=Return%20Rehabilitation%20%26%20Fitness%20recovery%20centre&query_place_id=ChIJ-ZpWMm3F3xQRYX_JBdbT6yI"
"Sacred Roots Yoga & Massage","5","72","Elena Houses, 24, Vrysoudion 66","Paralimni",,"CY","http://www.sacredrootscy.com/","+357 96 025001","Yoga studio","https://www.google.com/maps/search/?api=1&query=Sacred%20Roots%20Yoga%20%26%20Massage&query_place_id=ChIJoTWP--zF3xQR5N1SybkV8FQ"
"hu",,"0","Leoforos Protara-Kavo Gkreko 91","Paralimni",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=hu&query_place_id=ChIJB816cwDH3xQR_gQ_yTm8Fcc"
"street workout","3.5","4","2374+WFR, Παραλιακός πεζόδρομος Πρωταρά - Περνέρα","Paralimni",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=street%20workout&query_place_id=ChIJ88SW6eHF3xQRLLjAVbP4vb0"
"Cavo D’oro Spa at Vangelis Hotel in Protaras",,"0","Athinas 20","Paralimni",,"CY","https://reserve.okgini.com/spa?lid=van","+357 96 227637","Fitness center","https://www.google.com/maps/search/?api=1&query=Cavo%20D%E2%80%99oro%20Spa%20at%20Vangelis%20Hotel%20in%20Protaras&query_place_id=ChIJ_e_EtLfH3xQRoExvd6FVbr4"
"Out door workout area","3","2","2374+RF6","Paralimni",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Out%20door%20workout%20area&query_place_id=ChIJjwbvwFHF3xQREYi7cdEWtwo"
"Outdoor gym","5","1","Calisthenics park, Παραλιακός πεζόδρομος Πρωταρά - Περνέρα 30","Paralimni",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Outdoor%20gym&query_place_id=ChIJKym8cQDF3xQRuAWT-b69Rrg"
"Outdoor Gym","3.1","8","22HV+VX3, Παραλιακός πεζόδρομος Πρωταρά - Περνέρα","Paralimni",,"CY",,,"Gym","https://www.google.com/maps/search/?api=1&query=Outdoor%20Gym&query_place_id=ChIJ47LYI8HH3xQRsylMud_ERwI"
"Protaras Tennis and Country Club","4.7","45",,"Paralimni",,"CY","https://www.facebook.com/profile.php?id=100057482559025","+357 99 610603","Hotel","https://www.google.com/maps/search/?api=1&query=Protaras%20Tennis%20and%20Country%20Club&query_place_id=ChIJFekTqszF3xQRfUvNw7MWG5w"
"World Gym AYIA NAPA","4.9","1269","monte napa, Νίκου Καζαντζάκη 6","Ayia Napa",,"CY","https://www.facebook.com/MonteNapaGym","+357 96 672947","Gym","https://www.google.com/maps/search/?api=1&query=World%20Gym%20AYIA%20NAPA&query_place_id=ChIJefLuhW3F3xQR7_78vm6Jh2Y"
"CalisthenicsWorkout4allcy","5","38","Protara 109","Paralimni",,"CY","https://instagram.com/calisthenicsworkout4allcy?igshid=vdciehtp87u5","+357 99 932738","Gym","https://www.google.com/maps/search/?api=1&query=CalisthenicsWorkout4allcy&query_place_id=ChIJo-LOG3TF3xQRman0u_yXDIE"
